CUSTOMER_ID,DATE,PRODUCT_ID,QUANTITY,LIST_PRICE,SPECIAL
AT01121284,2019-03-23,2906,1.0,7.45,
AT01121284,2019-03-23,138749,1.0,0.0,
AT01121284,2019-03-23,139314,1.0,40.0,
XG01518449,2019-03-23,151314,1.0,7.75,
XG01518449,2019-03-23,2606,1.0,12.95,
XG01518449,2019-03-23,150077,1.0,6.65,
XG01518449,2019-03-23,205789,1.0,19.95,
XG01518449,2019-03-23,2942,1.0,3.65,
XG01518449,2019-03-23,3242,2.0,7.9,
XG01518449,2019-03-23,130857,2.0,12.5,
XG01518449,2019-03-23,60864,1.0,7.25,
XG01518449,2019-03-23,130869,1.0,3.35,
XG01518449,2019-03-23,43926,1.0,8.75,
XG01518449,2019-03-23,151350,1.0,4.95,
XG01518449,2019-03-23,185128,1.0,4.95,
XG01518449,2019-03-23,60204,1.0,5.25,
XG01518449,2019-03-23,138161,1.0,0.0,
XG01518449,2019-03-23,138953,1.0,39.0,
EA00904658,2019-03-23,2462,1.0,8.45,
OK01121212,2019-03-19,2450,1.0,13.95,
OK01121212,2019-03-19,81319,1.0,13.95,
OK01121212,2019-03-19,205753,1.0,14.95,
OK01121212,2019-03-19,206498,1.0,12.95,
OK01121212,2019-03-19,60864,2.0,14.5,
OK01121212,2019-03-19,3530,1.0,5.95,
OK01121212,2019-03-19,49909,1.0,6.95,
UQ01121511,2019-03-19,130676,1.0,8.45,
UQ01121511,2019-03-19,81319,1.0,13.95,
UQ01121511,2019-03-19,138701,1.0,0.0,
UQ01121511,2019-03-19,139254,1.0,9.0,
AI04059995,2019-04-11,204,1.0,7.95,
AI04059995,2019-04-11,191601,1.0,7.25,
AI04059995,2019-04-11,146990,1.0,4.95,
AI04059995,2019-04-11,129680,2.0,10.5,
AI04059995,2019-04-11,1825,2.0,13.3,
AI04059995,2019-04-11,212238,1.0,0.0,
PT01121203,2019-04-11,2954,1.0,3.65,
BZ03892831,2019-04-11,150605,1.0,6.95,
BZ03892831,2019-04-11,57091,1.0,6.95,
BZ03892831,2019-04-11,36,1.0,6.95,
BZ03892831,2019-04-11,191145,1.0,4.95,
BZ03892831,2019-04-11,24612,1.0,5.25,
YY01121555,2019-04-17,24612,4.0,21.0,
YY01121555,2019-04-17,44154,3.0,16.95,
YY01121555,2019-04-17,209860,1.0,5.45,
YY01121555,2019-04-17,212238,4.0,0.0,
DF04345919,2019-04-17,81211,2.0,9.9,
DF04345919,2019-04-17,112131,1.0,9.45,
DF04345919,2019-04-17,193044,1.0,0.0,
DF04345919,2019-04-17,114989,1.0,0.0,
DF04345919,2019-04-17,55902,1.0,11.65,
DF04345919,2019-04-17,191649,1.0,7.95,
DF04345919,2019-04-17,149356,1.0,2.75,
DF04345919,2019-04-17,149356,1.0,0.0,
DF04345919,2019-04-17,17308,1.0,13.95,
DF04345919,2019-04-17,191661,1.0,14.95,
DF04345919,2019-04-17,81415,1.0,4.95,
DF04345919,2019-04-17,188250,1.0,4.95,
DF04345919,2019-04-17,3723,1.0,6.45,
DF04345919,2019-04-17,212238,1.0,0.0,
KN03376846,2019-04-17,117403,1.0,5.85,
KN03376846,2019-04-17,112131,1.0,9.45,
KN03376846,2019-04-17,20743,1.0,5.25,
KN03376846,2019-04-17,130796,1.0,13.95,
KN03376846,2019-04-17,2750,1.0,17.95,
